"Date","AK","AL","AR","AZ","CA","CO","CT","DE","FL","GA","HI","IA","ID","IL","IN","KS","KY","LA","MA","MD","ME","MI","MN","MO","MS","MT","NC","ND","NE","NH","NJ","NM","NV","NY","OH","OK","OR","PA","RI","SC","SD","TN","TX","UT","VA","VT","WA","WI","WV","WY"
2024-01-01,325292,7370413,3790934,4712357,8498533,3201961,2187737,44490,13631680,7396252,583949,2701908,431125,4535424,7106370,1859296,5178857,6186654,1406247,1297377,519569,6729628,3039468,4535096,5052717,1193958,6770651,2099123,1678235,413611,2680615,1538069,2399771,4841228,9286852,4326028,2233608,14649621,481745,3231161,306441,2651673,25135305,2152522,5244969,31249,1933363,4751531,4801848,2862973
2024-02-01,325292,7370413,4004084,4648435,7554254,3050197,2187737,44490,14218801,7528233,570701,2799820,347855,4535424,7038325,2011765,5178857,6086020,1406247,1407327,485186,6811908,3039468,4560724,5040047,1193958,6677906,2099123,1678235,435371,2680615,1538069,2473839,4550595,8147105,4276857,1945764,14841218,481745,3193442,211960,2651673,26773040,2509358,4555406,31249,1502150,4523426,4534464,2862973
2024-03-01,325292,7370413,3825201,4760573,6809708,2818946,2187737,44490,15655834,6932945,587526,2345776,310168,4535424,6399244,1733651,5178857,6057971,1406247,1514881,479018,6076682,3039468,4363672,4654206,1193958,5620986,2099123,1678235,435371,2680615,1538069,2483483,4433132,7651895,3635836,1770638,13132666,481745,3143118,238708,2651673,27717761,2743738,4283402,31249,1336983,3811572,3629373,2862973
2024-04-01,325292,7370413,3566014,4991370,6386834,2746347,2187737,44490,17088367,6370593,579642,1948015,310168,4535424,5989268,1468199,5178857,6083925,1406247,1514881,476746,5159096,3039468,3987771,4404875,1193958,4683196,2099123,1678235,435371,2680615,1538069,2444676,4433132,8131643,3202114,1770638,11287124,481745,3102844,215909,2651673,27813976,2743738,4452932,31249,1330350,3178307,2985771,2862973
2024-05-01,325292,7370413,3457992,5261040,6290133,2840323,2187737,44490,18340057,6250096,579642,1999526,310168,4535424,6062557,1466506,5178857,6136082,1406247,1514881,485210,4953495,3039468,3831494,4333325,1193958,4780953,2099123,1678235,435371,2680615,1538069,2383707,4433132,8409257,3505341,1770638,10965174,481745,3083819,235342,2651673,27320152,2743738,4545622,31249,1396420,3320888,3187141,2862973
2024-06-01,325292,7370413,3514244,5492063,6442077,2973562,2187737,44490,19230055,6472331,579642,2410079,310168,4535424,6510630,1771933,5178857,6189145,1406247,1514881,491514,5551959,3039468,4038495,4412670,1193958,5770575,2099123,1678235,435371,2680615,1538069,2325997,4433132,8409257,4297575,1770638,12183868,481745,3085656,218778,2651673,26653354,2743738,4557886,31249,1479443,4046400,3963521,2862973
2024-07-01,325292,7370413,3618235,5629354,6727782,3013485,2187737,44490,19307481,6722903,579642,2738108,310168,4535424,6866125,2031745,5178857,6226938,1406247,1514881,494136,6228794,3039468,4326775,4522516,1193958,6638238,2099123,1678235,435371,2680615,1538069,2288474,4433132,8409257,4828479,1770638,13629289,481745,3100508,232897,2651673,26156796,2743738,4569053,31249,1550384,4611971,4516854,2862973
2024-08-01,325292,7370413,3670088,5651316,7035026,2952527,2187737,44490,18680056,6801133,579642,2662631,310168,4535424,6829302,2012277,5178857,6243853,1406247,1514881,492429,6282897,3039468,4472214,4586960,1193958,6536591,2099123,1678235,435371,2680615,1538069,2276828,4433132,8409257,4611478,1770638,13996322,481745,3118490,220862,2651673,25980620,2743738,4579218,31249,1599083,4450464,4334650,2862973
2024-09-01,325292,7370413,3654289,5570286,7281161,2872439,2187737,44490,17640718,6722188,579642,2293904,310168,4535424,6476324,1725775,5178857,6242594,1406247,1514881,489555,5745084,3039468,4330865,4589133,1193958,5610098,2099123,1678235,435371,2680615,1538069,2287051,4433132,8409257,3906379,1770638,13144128,481745,3131980,231120,2651673,26086424,2743738,4588474,31249,1626254,3750779,3673284,2862973
2024-10-01,325292,7370413,3613281,5423930,7424345,2849967,2187737,44490,16478838,6612966,579642,2025992,310168,4535424,6187398,1494012,5178857,6230284,1406247,1514881,487641,5244530,3039468,4079278,4556744,1193958,4807445,2099123,1678235,435371,2680615,1538069,2309538,4433132,8409257,3445291,1770638,12018622,481745,3137613,222376,2651673,26329996,2743738,4596900,31249,1637323,3235965,3210511,2862973
2024-11-01,325292,7370413,3589332,5261281,7461200,2888231,2187737,44490,15527291,6568640,579642,2118171,310168,4535424,6207279,1536628,5178857,6214703,1406247,1514881,487499,5285393,3039468,3955109,4524410,1193958,4911987,2099123,1678235,435371,2680615,1538069,2333710,4433132,8409257,3693938,1770638,11649841,481745,3136044,229830,2651673,26559667,2743738,4604571,31249,1638543,3418366,3365415,2862973
2024-12-01,325292,7370413,3592778,5127968,7415680,2936118,2187737,44490,15064637,6594685,579642,2447221,310168,4535424,6474498,1808848,5178857,6201714,1406247,1514881,488435,5751049,3039468,4051699,4510821,1193958,5779270,2099123,1678235,435371,2680615,1538069,2351578,4433132,8409257,4395893,1770638,12234917,481745,3130321,223477,2651673,26683130,2743738,4611555,31249,1635054,4090081,3927536,2862973
2025-01-01,325292,7370413,3608654,5054671,7324655,2948380,2187737,44490,15173561,6641282,579642,2663620,310168,4535424,6710309,2013777,5178857,6194233,1406247,1514881,489430,6108783,3039468,4259996,4515166,1193958,6521667,2099123,1678235,435371,2680615,1538069,2359459,4433132,8409257,4846930,1770638,13104592,481745,3123958,228892,2651673,26685578,2743738,4617913,31249,1630280,4557559,4320153,2862973
2025-02-01,325292,7370413,3619392,5051351,7224777,2924372,2187737,44490,15768627,6664549,579642,2560632,310168,4535424,6706694,1953226,5178857,6192447,1406247,1514881,489847,6009525,3039468,4374171,4526652,1193958,6415106,2099123,1678235,435371,2680615,1538069,2357850,4433132,8409257,4608322,1770638,13451144,481745,3119489,224276,2651673,26608647,2743738,4623702,31249,1626062,4356942,4185480,2862973
2025-03-01,325292,7370413,3619223,5107872,7143489,2895682,2187737,44490,16644920,6657001,579642,2268784,310168,4535424,6500546,1695229,5178857,6194774,1406247,1514881,489681,5617611,3039468,4305393,4535341,1193958,5603349,2099123,1678235,435371,2680615,1538069,2350044,4433132,8409257,3937829,1770638,13058024,481745,3117891,228210,2651673,26512887,2743738,4628972,31249,1623093,3713427,3706821,2862973
2025-04-01,325292,7370413,3613199,5199851,7095105,2889064,2187737,44490,17528767,6637553,579642,2096251,310168,4535424,6309809,1516423,5178857,6198992,1406247,1514881,489280,5372403,3039468,4136744,4537502,1193958,4916795,2099123,1678235,435371,2680615,1538069,2340282,4433132,8409257,3516133,1770638,12391321,481745,3118757,224857,2651673,26445468,2743738,4633770,31249,1621388,3290569,3375654,2862973
2025-05-01,325292,7370413,3608501,5297352,7081351,2904064,2187737,44490,18164414,6625946,579642,2205320,310168,4535424,6304329,1591341,5178857,6203141,1406247,1514881,488990,5503089,3039468,4032729,4534901,1193958,5024605,2099123,1678235,435371,2680615,1538069,2332168,4433132,8409257,3758645,1770638,12079358,481745,3120923,227715,2651673,26424932,2743738,4638138,31249,1620656,3506704,3492048,2862973
2025-06-01,325292,7370413,3608068,5373692,7094860,2921228,2187737,44490,18392442,6627544,579642,2462638,310168,4535424,6461897,1835057,5178857,6206007,1406247,1514881,488940,5824593,3039468,4079679,4531241,1193958,5784297,2099123,1678235,435371,2680615,1538069,2327731,4433132,8409257,4408465,1770638,12336308,481745,3123154,225279,2651673,26443440,2743738,4642115,31249,1620533,4122013,3898992,2862973
2025-07-01,325292,7370413,3610301,5411988,7123813,2924738,2187737,44490,18182693,6635474,579642,2598065,310168,4535424,6615779,1989075,5178857,6207211,1406247,1514881,489058,5983313,3039468,4216388,4529127,1193958,6419105,2099123,1678235,435371,2680615,1538069,2327263,4433132,8409257,4809010,1770638,12843388,481745,3124616,227356,2651673,26479390,2743738,4645736,31249,1620712,4502864,4179030,2862973
